Pick,Player,Pos,Natl
1,Deandre Ayton,C,ÊBahamas
2,Marvin Bagley III,PF,ÊUnited States
3,Luka Doncic,SG,ÊSlovenia
4,Jaren Jackson Jr.,PF,ÊUnited States
5,Trae Young,PG,ÊUnited States
6,Mohamed Bamba,C,ÊUnited States
7,Wendell Carter Jr.,C,ÊUnited States
8,Collin Sexton,PG,ÊUnited States
9,Kevin Knox,SF,ÊUnited States
10,Mikal Bridges,SF,ÊUnited States
11,Shai Gilgeous-Alexander,PG,ÊCanada
12,Miles Bridges,SF,ÊUnited States
13,Jerome Robinson,SG,ÊUnited States
14,Michael Porter Jr.,SF,ÊUnited States
15,Troy Brown,SF,ÊUnited States
16,Zhaire Smith,SF,ÊUnited States
17,Donte DiVincenzo,SG,ÊUnited States
18,Lonnie Walker IV,SG,ÊUnited States
19,Kevin Huerter,SG,ÊUnited States
20,Josh Okogie,SG,ÊUnited States
21,Grayson Allen,SG,ÊUnited States
22,Chandler Hutchison,SF/SG,ÊUnited States
23,Aaron Holiday,PG,ÊUnited States
24,Anfernee Simons,SG,ÊUnited States
25,Moritz Wagner,PF,ÊGermany
26,Landry Shamet,PG,ÊUnited States
27,Robert Williams,F,ÊUnited States
28,Jacob Evans,SG,ÊUnited States
29,Dzanan Musa,SF,ÊBosnia and Herzegovina
30,Omari Spellman,PF,ÊUnited States
31,Elie Okobo,PG,ÊFrance
32,Jevon Carter,PG,ÊUnited States
33,Jalen Brunson,PG,ÊUnited States
34,Devonte' Graham,PG,ÊUnited States
35,Melvin Frazier,SF,ÊUnited States
36,Mitchell Robinson,C,ÊUnited States
37,Gary Trent Jr.,SG,ÊUnited States
38,Khyri Thomas,SG,ÊUnited States
39,Isaac Bonga,SF,ÊGermany
40,Rodions Kurucs,SF,ÊLatvia
41,Jarred Vanderbilt,SF,ÊUnited States
42,Bruce Brown,SG,ÊUnited States
43,Justin Jackson,SF,ÊCanada
44,Yusuf Sanon,PG,ÊUkraine
45,Hamidou Diallo,SG,ÊUnited States
46,De'Anthony Melton,SG,ÊUnited States
47,Sviatoslav Mykhailiuk,SG,ÊUkraine
48,Keita Bates-Diop,SF,ÊUnited States
49,Chimezie Metu,PF,ÊUnited States
50,Alize Johnson,PF,ÊUnited States
51,Tony Carr,PG,ÊUnited States
52,Vince Edwards,SF,ÊUnited States
53,Devon Hall,SG,ÊUnited States
54,Shake Milton,PG,ÊUnited States
55,Arnoldas Kulboka,SF,ÊLithuania
56,Ray Spalding,PF,ÊUnited States
57,Kevin Hervey,PF,ÊUnited States
58,Thomas Welsh,C,ÊUnited States
59,George King,SF,ÊUnited States
60,Kostas Antetokounmpo,SF,ÊGreece